Insert into UfAffiliate values(95947099, 'SDorgan9899@ufl.edu', '408-866-5778', 'N', 'F', '0', 'SonDorgan');
Insert into UfAffiliate values(42827446, 'NKalbach3503@ufl.edu', '609-225-4859', 'N', 'F', '1428', 'NeldaKalbach');
Insert into UfAffiliate values(76971316, 'HSmelko4006@ufl.edu', '567-359-5541', 'N', 'F', '1429', 'HoustonSmelko');
Insert into UfAffiliate values(24165921, 'JHachette4003@ufl.edu', '127-567-9199', 'Y', 'E', '1430', 'JasperHachette');
Insert into UfAffiliate values(95634076, 'MHallo4657@ufl.edu', '984-635-3734', 'N', 'F', '1431', 'MiloHallo');
Insert into UfAffiliate values(88427745, 'SHenkensiefken2214@ufl.edu', '312-740-2700', 'N', 'F', '1432', 'ShantelHenkensiefken');
Insert into UfAffiliate values(53955519, 'EGlasper9578@ufl.edu', '146-148-6324', 'Y', 'P', '1433', 'EliGlasper');
Insert into UfAffiliate values(19022807, 'SRynearson4546@ufl.edu', '332-103-6577', 'N', 'F', '1434', 'ScarlettRynearson');
Insert into UfAffiliate values(85981129, 'SAubuchon7006@ufl.edu', '966-204-4170', 'N', 'F', '1435', 'SanfordAubuchon');
Insert into UfAffiliate values(85141376, 'WIgnowski2382@ufl.edu', '213-228-2960', 'N', 'P', '1436', 'WaltraudIgnowski');
Insert into UfAffiliate values(68218844, 'EClubs6654@ufl.edu', '761-908-9002', 'N', 'F', '1437', 'EmikoClubs');
Insert into UfAffiliate values(38271026, 'KConnie450@ufl.edu', '973-940-7840', 'Y', 'P', '1438', 'KendaConnie');
Insert into UfAffiliate values(19419020, 'PPrauner4185@ufl.edu', '979-242-9340', 'N', 'F', '1439', 'PetrinaPrauner');
Insert into UfAffiliate values(83503826, 'DHoines4050@ufl.edu', '438-302-3163', 'N', 'F', '1440', 'DungHoines');
Insert into UfAffiliate values(28799893, 'DSedler4763@ufl.edu', '670-222-4509', 'Y', 'P', '1441', 'DevonaSedler');
Insert into UfAffiliate values(75442927, 'EZwingman6625@ufl.edu', '547-854-2075', 'Y', 'P', '1442', 'EdieZwingman');
Insert into UfAffiliate values(47060978, 'ADennie1952@ufl.edu', '446-669-5905', 'N', 'F', '1443', 'AddieDennie');
Insert into UfAffiliate values(24318627, 'LSokal4722@ufl.edu', '338-466-4341', 'N', 'F', '1444', 'LonnySokal');
Insert into UfAffiliate values(54426076, 'ESadler8578@ufl.edu', '227-213-5192', 'N', 'F', '1445', 'ErrolSadler');
Insert into UfAffiliate values(95450899, 'DPigna2809@ufl.edu', '710-227-3778', 'N', 'F', '1446', 'DottyPigna');
Insert into UfAffiliate values(54983207, 'GKleinman8302@ufl.edu', '399-972-3099', 'N', 'F', '1447', 'GeneKleinman');
Insert into UfAffiliate values(11735665, 'TMonard6316@ufl.edu', '685-731-5372', 'N', 'F', '1448', 'TomikoMonard');
Insert into UfAffiliate values(88554303, 'FArchambeault521@ufl.edu', '318-373-1005', 'Y', 'P', '1449', 'FloraArchambeault');
Insert into UfAffiliate values(95797905, 'LHolsten7717@ufl.edu', '344-278-1314', 'N', 'F', '1450', 'LizzieHolsten');
Insert into UfAffiliate values(41177446, 'KMccoskey8795@ufl.edu', '786-884-3506', 'N', 'P', '1451', 'KathrinMccoskey');
Insert into UfAffiliate values(36252342, 'MMarbray5647@ufl.edu', '393-685-7481', 'N', 'F', '1452', 'MonnieMarbray');
Insert into UfAffiliate values(46386530, 'DHoeck184@ufl.edu', '749-404-5794', 'N', 'F', '1453', 'DorthaHoeck');
Insert into UfAffiliate values(50789813, 'ACaoagdan9816@ufl.edu', '501-859-9298', 'N', 'F', '1454', 'AlexanderCaoagdan');
Insert into UfAffiliate values(36549343, 'MCelia4754@ufl.edu', '829-843-3196', 'Y', 'P', '1455', 'MikaelaCelia');
Insert into UfAffiliate values(48161003, 'WGerdis5416@ufl.edu', '848-469-9361', 'N', 'F', '1456', 'WilfredGerdis');
Insert into UfAffiliate values(54949515, 'BKienzle9882@ufl.edu', '690-124-8431', 'N', 'F', '1457', 'BeckyKienzle');
Insert into UfAffiliate values(43782633, 'LBalderree9171@ufl.edu', '437-701-8892', 'N', 'F', '1458', 'LuigiBalderree');
Insert into UfAffiliate values(43920735, 'RAsa5124@ufl.edu', '630-473-2722', 'Y', 'P', '1459', 'RoscoeAsa');
Insert into UfAffiliate values(92782017, 'RMorale4159@ufl.edu', '233-655-7388', 'N', 'F', '1460', 'RhettMorale');
Insert into UfAffiliate values(41632649, 'ANardozzi9279@ufl.edu', '131-875-8421', 'N', 'F', '1461', 'AmbroseNardozzi');
Insert into UfAffiliate values(72134079, 'EDelwiche2536@ufl.edu', '903-298-1477', 'N', 'F', '1462', 'EneidaDelwiche');
Insert into UfAffiliate values(61764145, 'MDanza8030@ufl.edu', '186-383-4598', 'N', 'F', '1463', 'MichikoDanza');
Insert into UfAffiliate values(58427587, 'SCaul3124@ufl.edu', '387-613-7525', 'Y', 'E', '1464', 'ShastaCaul');
Insert into UfAffiliate values(16487202, 'SKleftogiannis1738@ufl.edu', '809-190-6466', 'N', 'F', '1465', 'SadieKleftogiannis');
Insert into UfAffiliate values(96379571, 'KBuerstatte249@ufl.edu', '565-792-4795', 'N', 'P', '1466', 'KristieBuerstatte');
Insert into UfAffiliate values(62176288, 'TSpringfield8663@ufl.edu', '156-434-9697', 'N', 'F', '1467', 'TracieSpringfield');
Insert into UfAffiliate values(81925114, 'KBarish9709@ufl.edu', '982-807-4140', 'N', 'F', '1468', 'KathrinBarish');
Insert into UfAffiliate values(65488013, 'OSadberry3129@ufl.edu', '623-887-2975', 'Y', 'P', '1469', 'OllieSadberry');
Insert into UfAffiliate values(66523818, 'LTommie8205@ufl.edu', '145-392-9856', 'N', 'F', '1470', 'LuisTommie');
Insert into UfAffiliate values(83623393, 'PDevitis8983@ufl.edu', '629-576-5792', 'N', 'F', '1471', 'PalmerDevitis');
Insert into UfAffiliate values(39298882, 'SKotz4025@ufl.edu', '448-533-4877', 'Y', 'P', '1472', 'SantinaKotz');
Insert into UfAffiliate values(39408529, 'RTiemann4368@ufl.edu', '644-744-9124', 'N', 'F', '1473', 'RonnyTiemann');
Insert into UfAffiliate values(32338567, 'EBoldrin7842@ufl.edu', '129-494-5440', 'N', 'F', '1474', 'EmogeneBoldrin');
Insert into UfAffiliate values(21382381, 'EDenunzio3360@ufl.edu', '996-592-9065', 'N', 'F', '1475', 'EveliaDenunzio');
Insert into UfAffiliate values(58823649, 'PLynn9588@ufl.edu', '491-708-1109', 'N', 'F', '1476', 'ProvidenciaLynn');
Insert into UfAffiliate values(27836796, 'LQuesenberry4923@ufl.edu', '885-750-7803', 'N', 'F', '1477', 'LottieQuesenberry');
Insert into UfAffiliate values(71182240, 'VRicardo6089@ufl.edu', '852-581-5703', 'N', 'F', '1478', 'ValentinRicardo');
Insert into UfAffiliate values(12449134, 'RSiltman6811@ufl.edu', '308-253-9374', 'N', 'F', '1479', 'RockySiltman');
Insert into UfAffiliate values(13899083, 'HHervert8731@ufl.edu', '116-264-1758', 'N', 'F', '1480', 'HarlandHervert');
Insert into UfAffiliate values(82003983, 'ERona7875@ufl.edu', '625-651-3157', 'Y', 'E', '1481', 'ErleneRona');
Insert into UfAffiliate values(11996152, 'LBrunckhorst9150@ufl.edu', '627-556-8488', 'N', 'F', '1482', 'LymanBrunckhorst');
Insert into UfAffiliate values(31150753, 'ABirenbaum4934@ufl.edu', '611-182-4044', 'N', 'F', '1483', 'AntoneBirenbaum');
Insert into UfAffiliate values(20266565, 'DYasika2123@ufl.edu', '192-569-4240', 'N', 'P', '1484', 'DewayneYasika');
Insert into UfAffiliate values(52510463, 'ETenant7859@ufl.edu', '929-993-2353', 'N', 'F', '1485', 'EstellTenant');
Insert into UfAffiliate values(21584759, 'CRajk7103@ufl.edu', '241-961-2118', 'N', 'F', '1486', 'CindaRajk');
Insert into UfAffiliate values(79234535, 'SBente1667@ufl.edu', '926-284-7806', 'N', 'F', '1487', 'ShawntaBente');
Insert into UfAffiliate values(31317630, 'SPersechino6066@ufl.edu', '967-862-8791', 'N', 'F', '1488', 'ShauntaPersechino');
Insert into UfAffiliate values(92794094, 'HReichelderfer3827@ufl.edu', '211-833-5984', 'N', 'F', '1489', 'HollieReichelderfer');
Insert into UfAffiliate values(14020118, 'VFriley2232@ufl.edu', '400-603-3742', 'Y', 'P', '1490', 'VannessaFriley');
Insert into UfAffiliate values(90387569, 'BBizzaro4208@ufl.edu', '860-159-7486', 'N', 'P', '1491', 'BriannaBizzaro');
Insert into UfAffiliate values(95707363, 'CPopularis4381@ufl.edu', '464-246-1505', 'N', 'E', '1492', 'CleopatraPopularis');
Insert into UfAffiliate values(80842131, 'AChennault7972@ufl.edu', '373-756-4618', 'N', 'F', '1493', 'AllenChennault');
Insert into UfAffiliate values(76292658, 'TWestcott778@ufl.edu', '626-149-5461', 'N', 'F', '1494', 'TimothyWestcott');
Insert into UfAffiliate values(87760790, 'WYasin9676@ufl.edu', '968-541-4535', 'N', 'F', '1495', 'WadeYasin');
Insert into UfAffiliate values(68968782, 'MRufino2568@ufl.edu', '649-414-6490', 'N', 'F', '1496', 'MargaretRufino');
Insert into UfAffiliate values(45454726, 'HPetrich1631@ufl.edu', '733-153-7174', 'N', 'F', '1497', 'HarrietPetrich');
Insert into UfAffiliate values(33981779, 'GValree16@ufl.edu', '475-446-6507', 'N', 'F', '1498', 'GlendaValree');
Insert into UfAffiliate values(40407016, 'JHano9884@ufl.edu', '736-203-1773', 'Y', 'E', '1499', 'JeniferHano');
Insert into UfAffiliate values(91752741, 'HMclauglin7807@ufl.edu', '288-668-4467', 'N', 'F', '1500', 'HallieMclauglin');
Insert into UfAffiliate values(95016555, 'CPingitore7027@ufl.edu', '905-275-1142', 'N', 'F', '1501', 'CleoPingitore');
Insert into UfAffiliate values(95883030, 'DAltic919@ufl.edu', '323-598-8649', 'N', 'F', '1502', 'DionneAltic');
Insert into UfAffiliate values(90756252, 'EBridgeforth643@ufl.edu', '287-341-2040', 'Y', 'P', '1503', 'EdgardoBridgeforth');
Insert into UfAffiliate values(49578567, 'EMcmina4914@ufl.edu', '769-878-5542', 'N', 'F', '1504', 'ErinMcmina');
Insert into UfAffiliate values(57235459, 'SSlomkowski4497@ufl.edu', '173-114-9601', 'Y', 'P', '1505', 'ShariSlomkowski');
Insert into UfAffiliate values(23104372, 'SVanhooser5898@ufl.edu', '846-408-9697', 'N', 'P', '1506', 'SethVanhooser');
Insert into UfAffiliate values(18162874, 'LKulesza928@ufl.edu', '513-860-7947', 'N', 'F', '1507', 'LizetteKulesza');
Insert into UfAffiliate values(75670501, 'MGrainger8163@ufl.edu', '704-980-4590', 'N', 'F', '1508', 'MalikGrainger');
Insert into UfAffiliate values(76062965, 'CSalvia398@ufl.edu', '931-982-2665', 'N', 'F', '1509', 'CathleenSalvia');
Insert into UfAffiliate values(75968109, 'DVisconti1049@ufl.edu', '513-896-5074', 'N', 'P', '1510', 'DewittVisconti');
Insert into UfAffiliate values(62991524, 'NKlunder8663@ufl.edu', '640-522-7132', 'N', 'F', '1511', 'NestorKlunder');
Insert into UfAffiliate values(80906019, 'CGunsolus9891@ufl.edu', '723-865-2690', 'N', 'F', '1512', 'CinthiaGunsolus');
Insert into UfAffiliate values(16761998, 'TRoosevelt2596@ufl.edu', '303-725-8827', 'N', 'F', '1513', 'TressaRoosevelt');
Insert into UfAffiliate values(18531487, 'LHobock8709@ufl.edu', '404-261-9663', 'N', 'F', '1514', 'LueHobock');
Insert into UfAffiliate values(49781797, 'TKerin4223@ufl.edu', '927-189-6750', 'N', 'P', '1515', 'TanjaKerin');
Insert into UfAffiliate values(44688198, 'MGoldak3341@ufl.edu', '739-391-6931', 'N', 'F', '1516', 'MelinaGoldak');
Insert into UfAffiliate values(83419236, 'HCunnington3237@ufl.edu', '646-292-4905', 'N', 'F', '1517', 'HugoCunnington');
Insert into UfAffiliate values(81786460, 'DLeleux2021@ufl.edu', '785-227-3009', 'N', 'F', '1518', 'DennisLeleux');
Insert into UfAffiliate values(49613318, 'RSabin1103@ufl.edu', '845-948-6930', 'Y', 'P', '1519', 'RaulSabin');
Insert into UfAffiliate values(58063529, 'SSchnitman2120@ufl.edu', '232-578-4148', 'N', 'F', '1520', 'SinaSchnitman');
Insert into UfAffiliate values(16918485, 'CTeves5499@ufl.edu', '988-823-1764', 'N', 'F', '1521', 'ChesterTeves');
Insert into UfAffiliate values(97222601, 'GDenardo1532@ufl.edu', '143-910-4616', 'N', 'F', '1522', 'GarrettDenardo');
Insert into UfAffiliate values(50586282, 'GColas1101@ufl.edu', '378-770-7493', 'N', 'F', '1523', 'GladyColas');
Insert into UfAffiliate values(23470706, 'BMasero5463@ufl.edu', '123-555-5217', 'N', 'F', '1524', 'BenMasero');
Insert into UfAffiliate values(19990771, 'TDarthard5539@ufl.edu', '859-326-2477', 'N', 'P', '1525', 'TrumanDarthard');
Insert into UfAffiliate values(70424580, 'ADunkleberger2958@ufl.edu', '463-403-8633', 'N', 'P', '1526', 'AdamDunkleberger');
Insert into UfAffiliate values(49811596, 'LPannunzio7360@ufl.edu', '807-495-3612', 'N', 'F', '1527', 'LeviPannunzio');
Insert into UfAffiliate values(76177956, 'ECelmer3270@ufl.edu', '860-132-6073', 'N', 'F', '1528', 'ElvinCelmer');
Insert into UfAffiliate values(23122506, 'JWon2863@ufl.edu', '442-240-5495', 'N', 'F', '1529', 'JosephineWon');
Insert into UfAffiliate values(82704139, 'ACarbaugh4120@ufl.edu', '887-869-2875', 'Y', 'P', '1530', 'ArnulfoCarbaugh');
Insert into UfAffiliate values(33364519, 'LPetersen51@ufl.edu', '104-577-6856', 'N', 'F', '1531', 'LuciPetersen');
Insert into UfAffiliate values(87658578, 'LChavers5006@ufl.edu', '277-906-7272', 'N', 'F', '1532', 'LindsayChavers');
Insert into UfAffiliate values(31036309, 'AKossey7170@ufl.edu', '546-439-3040', 'N', 'F', '1533', 'AnikaKossey');
Insert into UfAffiliate values(67522115, 'SDominique785@ufl.edu', '431-760-5190', 'Y', 'P', '1534', 'StanfordDominique');
Insert into UfAffiliate values(34465961, 'TFlug9284@ufl.edu', '583-833-4779', 'N', 'F', '1535', 'TeneshaFlug');
Insert into UfAffiliate values(50111215, 'SKrzesinski5766@ufl.edu', '475-904-3558', 'N', 'F', '1536', 'SusanaKrzesinski');
Insert into UfAffiliate values(99556205, 'GMollura4494@ufl.edu', '668-249-1426', 'N', 'F', '1537', 'GalenMollura');
Insert into UfAffiliate values(61497740, 'PSpenner4718@ufl.edu', '487-530-9350', 'N', 'P', '1538', 'PeterSpenner');
Insert into UfAffiliate values(58044680, 'CStollar687@ufl.edu', '711-217-4481', 'N', 'F', '1539', 'ChantelStollar');
Insert into UfAffiliate values(93493043, 'MDecoster2689@ufl.edu', '916-493-8191', 'N', 'F', '1540', 'MarcoDecoster');
Insert into UfAffiliate values(97692144, 'SCormany7428@ufl.edu', '157-853-3702', 'N', 'P', '1541', 'ShareeCormany');
Insert into UfAffiliate values(42128383, 'DNeman8831@ufl.edu', '199-218-9399', 'N', 'F', '1542', 'DarbyNeman');
Insert into UfAffiliate values(41708894, 'RFlaggs4972@ufl.edu', '123-173-3635', 'N', 'F', '1543', 'RalphFlaggs');
Insert into UfAffiliate values(23397443, 'FErichsen4331@ufl.edu', '446-280-2002', 'N', 'F', '1544', 'FelishaErichsen');
Insert into UfAffiliate values(83214267, 'VPiedmont6243@ufl.edu', '393-291-1310', 'N', 'F', '1545', 'VernPiedmont');
Insert into UfAffiliate values(44330910, 'MStancer3589@ufl.edu', '645-170-7780', 'N', 'P', '1546', 'MitchStancer');
Insert into UfAffiliate values(73561458, 'OPollack6414@ufl.edu', '221-303-4820', 'N', 'F', '1547', 'OwenPollack');
Insert into UfAffiliate values(87568063, 'JVanetten4130@ufl.edu', '660-393-6085', 'N', 'F', '1548', 'JaeVanetten');
Insert into UfAffiliate values(76688100, 'VObenchain8811@ufl.edu', '767-178-9447', 'N', 'F', '1549', 'VanessaObenchain');
Insert into UfAffiliate values(40775422, 'LOrzech1453@ufl.edu', '512-988-5457', 'N', 'F', '1550', 'LeonaOrzech');
Insert into UfAffiliate values(98613790, 'LBeisch4834@ufl.edu', '652-246-6902', 'N', 'P', '1551', 'LanelleBeisch');
Insert into UfAffiliate values(72801920, 'TFranceski2255@ufl.edu', '856-142-1019', 'N', 'F', '1552', 'TommyFranceski');
Insert into UfAffiliate values(47898663, 'AHenninger4449@ufl.edu', '160-837-5374', 'Y', 'P', '1553', 'ArlieHenninger');
Insert into UfAffiliate values(28792001, 'VTillman3969@ufl.edu', '681-330-4709', 'N', 'F', '1554', 'ValerieTillman');
Insert into UfAffiliate values(18269119, 'VAstorino6670@ufl.edu', '956-277-7431', 'Y', 'P', '1555', 'ViAstorino');
Insert into UfAffiliate values(48724733, 'EKelm4898@ufl.edu', '156-548-9746', 'N', 'E', '1556', 'EliseKelm');
Insert into UfAffiliate values(28144585, 'MViera2137@ufl.edu', '137-902-7351', 'N', 'F', '1557', 'MarcelaViera');
Insert into UfAffiliate values(75624635, 'AKinard4965@ufl.edu', '951-315-3451', 'N', 'F', '1558', 'AdalbertoKinard');
Insert into UfAffiliate values(92713084, 'KUttley3032@ufl.edu', '680-296-3824', 'N', 'F', '1559', 'KristieUttley');
Insert into UfAffiliate values(41329622, 'XWempa9773@ufl.edu', '676-467-7867', 'N', 'F', '1560', 'XuanWempa');
Insert into UfAffiliate values(96793421, 'SMankowski8407@ufl.edu', '797-983-8614', 'N', 'F', '1561', 'SherwoodMankowski');
Insert into UfAffiliate values(62262388, 'AHatler3048@ufl.edu', '718-577-9551', 'N', 'F', '1562', 'AugustHatler');
Insert into UfAffiliate values(82623114, 'SPenale5287@ufl.edu', '560-670-8260', 'N', 'F', '1563', 'SenaPenale');
Insert into UfAffiliate values(87649065, 'SDitton6058@ufl.edu', '273-636-2711', 'N', 'F', '1564', 'SonDitton');
Insert into UfAffiliate values(51724145, 'JMarinella49@ufl.edu', '490-264-7281', 'N', 'F', '1565', 'JcMarinella');
Insert into UfAffiliate values(56470885, 'MBode3731@ufl.edu', '616-599-8078', 'Y', 'E', '1566', 'MalkaBode');
Insert into UfAffiliate values(61620070, 'SMonohan4944@ufl.edu', '263-925-6595', 'N', 'F', '1567', 'SolMonohan');
Insert into UfAffiliate values(78469909, 'ASebers8810@ufl.edu', '612-195-3688', 'N', 'F', '1568', 'AleaseSebers');
Insert into UfAffiliate values(90644236, 'JKreitzer8466@ufl.edu', '500-831-5800', 'N', 'F', '1569', 'JaimeeKreitzer');
Insert into UfAffiliate values(27777683, 'RKauer9434@ufl.edu', '901-590-8471', 'N', 'F', '1570', 'RethaKauer');
Insert into UfAffiliate values(20810799, 'AObhof667@ufl.edu', '659-341-4654', 'N', 'F', '1571', 'AldenObhof');
Insert into UfAffiliate values(67593901, 'GLiddiard200@ufl.edu', '848-633-8868', 'N', 'F', '1572', 'GudrunLiddiard');
Insert into UfAffiliate values(85676617, 'TVandawalker4635@ufl.edu', '609-804-1948', 'N', 'F', '1573', 'TrishaVandawalker');
Insert into UfAffiliate values(24188308, 'PPurrington2761@ufl.edu', '916-265-3165', 'N', 'F', '1574', 'ParisPurrington');
Insert into UfAffiliate values(16390064, 'AFults84@ufl.edu', '187-249-7341', 'N', 'F', '1575', 'AshleyFults');
Insert into UfAffiliate values(93190654, 'PMussell815@ufl.edu', '340-625-4206', 'N', 'P', '1576', 'PetrinaMussell');
Insert into UfAffiliate values(60270356, 'FDalton7203@ufl.edu', '965-826-4490', 'N', 'F', '1577', 'FerdinandDalton');
Insert into UfAffiliate values(96926763, 'BCulverson6998@ufl.edu', '960-303-5644', 'N', 'F', '1578', 'BoyceCulverson');
Insert into UfAffiliate values(24260953, 'HDoughtery5252@ufl.edu', '886-894-3701', 'Y', 'E', '1579', 'HowardDoughtery');
Insert into UfAffiliate values(28318930, 'VTalsky5756@ufl.edu', '665-838-5356', 'Y', 'E', '1580', 'ValdaTalsky');
Insert into UfAffiliate values(94007948, 'IHorak3040@ufl.edu', '380-750-9187', 'N', 'F', '1581', 'InellHorak');
Insert into UfAffiliate values(23435443, 'CLinginfelter2768@ufl.edu', '503-594-5056', 'N', 'F', '1582', 'CornellLinginfelter');
Insert into UfAffiliate values(83608422, 'EDittmer9598@ufl.edu', '715-292-2709', 'Y', 'P', '1583', 'EthelynDittmer');
Insert into UfAffiliate values(60090121, 'MFragmin124@ufl.edu', '262-412-1169', 'N', 'F', '1584', 'MarciaFragmin');
Insert into UfAffiliate values(39173843, 'ODeraveniere1696@ufl.edu', '520-308-4716', 'N', 'F', '1585', 'OzieDeraveniere');
Insert into UfAffiliate values(14532364, 'ASchlinger570@ufl.edu', '873-572-7505', 'N', 'F', '1586', 'AhmedSchlinger');
Insert into UfAffiliate values(65548770, 'LMeath5875@ufl.edu', '900-324-4205', 'N', 'F', '1587', 'LyndsayMeath');
Insert into UfAffiliate values(61782335, 'REwert1278@ufl.edu', '908-544-1731', 'N', 'F', '1588', 'RubinEwert');
Insert into UfAffiliate values(89083240, 'YSpacagna5682@ufl.edu', '355-194-1211', 'N', 'F', '1589', 'YunSpacagna');
Insert into UfAffiliate values(10455997, 'SSensel33@ufl.edu', '772-221-4474', 'N', 'F', '1590', 'ShaneSensel');
Insert into UfAffiliate values(38826857, 'JTramm8869@ufl.edu', '740-113-2422', 'N', 'F', '1591', 'JermaineTramm');
Insert into UfAffiliate values(75473187, 'EFallis4810@ufl.edu', '514-728-3648', 'N', 'F', '1592', 'ErminiaFallis');
Insert into UfAffiliate values(18937707, 'CDetlefs7766@ufl.edu', '150-393-9564', 'N', 'F', '1593', 'ColettaDetlefs');
Insert into UfAffiliate values(97183813, 'JSlick8079@ufl.edu', '107-447-1475', 'N', 'P', '1594', 'JereSlick');
Insert into UfAffiliate values(83118673, 'RKlasing9964@ufl.edu', '801-744-6559', 'N', 'F', '1595', 'RandiKlasing');
Insert into UfAffiliate values(63686956, 'DHerrick1366@ufl.edu', '832-920-1541', 'N', 'F', '1596', 'DanutaHerrick');
Insert into UfAffiliate values(99943497, 'KMacho7551@ufl.edu', '641-111-9053', 'N', 'F', '1597', 'KenyaMacho');
Insert into UfAffiliate values(22737540, 'ESlight17@ufl.edu', '334-953-1645', 'N', 'F', '1598', 'EarnestSlight');
Insert into UfAffiliate values(83563662, 'TDorr1365@ufl.edu', '853-387-5033', 'N', 'F', '1599', 'TammaraDorr');
Insert into UfAffiliate values(42679691, 'MGallivan8701@ufl.edu', '568-405-3272', 'N', 'F', '1600', 'ManGallivan');
Insert into UfAffiliate values(37079076, 'CRepinski4896@ufl.edu', '115-373-9063', 'N', 'F', '1601', 'CareyRepinski');
Insert into UfAffiliate values(49845275, 'PLipira9626@ufl.edu', '812-439-3141', 'N', 'F', '1602', 'PamalaLipira');
Insert into UfAffiliate values(48179688, 'ASpendlove6519@ufl.edu', '840-462-2387', 'N', 'F', '1603', 'AjaSpendlove');
Insert into UfAffiliate values(86681679, 'JTrobridge302@ufl.edu', '733-867-7720', 'N', 'F', '1604', 'JcTrobridge');
Insert into UfAffiliate values(89873778, 'DNii1956@ufl.edu', '826-574-4196', 'N', 'F', '1605', 'DallasNii');
Insert into UfAffiliate values(63155842, 'RTwist6150@ufl.edu', '108-134-3044', 'N', 'P', '1606', 'RigobertoTwist');
Insert into UfAffiliate values(55101872, 'RCaram2489@ufl.edu', '437-964-4165', 'N', 'F', '1607', 'RamonaCaram');
Insert into UfAffiliate values(63793169, 'TTrexler7422@ufl.edu', '413-555-9500', 'Y', 'E', '1608', 'ThomasTrexler');
Insert into UfAffiliate values(58193930, 'CNewcome4517@ufl.edu', '915-777-6221', 'N', 'F', '1609', 'CharlenaNewcome');
Insert into UfAffiliate values(20452894, 'DReinheimer5135@ufl.edu', '920-113-1543', 'N', 'F', '1610', 'DonaldReinheimer');
Insert into UfAffiliate values(84723885, 'JLittlejohn730@ufl.edu', '530-829-4748', 'N', 'F', '1611', 'JoleenLittlejohn');
Insert into UfAffiliate values(22624886, 'JPilakowski122@ufl.edu', '311-274-9339', 'N', 'F', '1612', 'JeramyPilakowski');
Insert into UfAffiliate values(96994346, 'NOechsle9965@ufl.edu', '308-805-5564', 'N', 'F', '1613', 'NicolleOechsle');
Insert into UfAffiliate values(62187469, 'OLenze5615@ufl.edu', '141-148-6822', 'Y', 'P', '1614', 'OcieLenze');
Insert into UfAffiliate values(12156520, 'HOhair9336@ufl.edu', '265-127-1552', 'N', 'F', '1615', 'HyacinthOhair');
Insert into UfAffiliate values(30186666, 'EGoist5398@ufl.edu', '574-944-3651', 'N', 'F', '1616', 'EldridgeGoist');
Insert into UfAffiliate values(17233928, 'MDardenne7324@ufl.edu', '255-616-2370', 'N', 'F', '1617', 'MartinDardenne');
Insert into UfAffiliate values(35174220, 'CBottomley2707@ufl.edu', '234-556-1227', 'N', 'P', '1618', 'CourtneyBottomley');
Insert into UfAffiliate values(51477622, 'MSkyles7403@ufl.edu', '915-165-6253', 'N', 'F', '1619', 'MelvinSkyles');
Insert into UfAffiliate values(16004510, 'IStief1428@ufl.edu', '970-798-9325', 'N', 'F', '1620', 'IrwinStief');
Insert into UfAffiliate values(52061303, 'MAreias109@ufl.edu', '985-868-5893', 'N', 'F', '1621', 'MinAreias');
Insert into UfAffiliate values(62323530, 'FLindemuth2989@ufl.edu', '964-840-8564', 'N', 'F', '1622', 'FerdinandLindemuth');
Insert into UfAffiliate values(24912496, 'JFerman5785@ufl.edu', '871-453-5343', 'N', 'F', '1623', 'JazmineFerman');
Insert into UfAffiliate values(88146615, 'KRetta3685@ufl.edu', '443-870-9131', 'N', 'P', '1624', 'KaylaRetta');
Insert into UfAffiliate values(69760673, 'SYendell5010@ufl.edu', '110-565-9581', 'N', 'F', '1625', 'SheliaYendell');
Insert into UfAffiliate values(35844891, 'VPuraty9106@ufl.edu', '101-460-9156', 'N', 'P', '1626', 'VerdiePuraty');
Insert into UfAffiliate values(19653570, 'NNotter7594@ufl.edu', '284-390-4663', 'N', 'F', '1627', 'NuNotter');
Insert into UfAffiliate values(86346437, 'SHerkenratt1051@ufl.edu', '992-171-7765', 'Y', 'P', '1628', 'SarinaHerkenratt');
Insert into UfAffiliate values(93339613, 'LStickley4233@ufl.edu', '133-987-1954', 'N', 'F', '1629', 'LorrianeStickley');
Insert into UfAffiliate values(95942761, 'VZehrbach4578@ufl.edu', '958-317-8557', 'N', 'F', '1630', 'VergieZehrbach');
Insert into UfAffiliate values(66426165, 'ODagostino8477@ufl.edu', '905-298-9111', 'N', 'F', '1631', 'OttoDagostino');
Insert into UfAffiliate values(88447755, 'TParayuelos8239@ufl.edu', '383-486-2650', 'Y', 'E', '1632', 'ThuParayuelos');
Insert into UfAffiliate values(96557228, 'KRichards5127@ufl.edu', '706-387-5726', 'N', 'P', '1633', 'KeraRichards');
Insert into UfAffiliate values(56358823, 'ERosenbeck7065@ufl.edu', '765-351-2522', 'N', 'F', '1634', 'EladiaRosenbeck');
Insert into UfAffiliate values(45593978, 'JHammon8012@ufl.edu', '479-133-9142', 'N', 'F', '1635', 'JamieHammon');
Insert into UfAffiliate values(76556520, 'LDiefenbach7932@ufl.edu', '268-342-4237', 'N', 'F', '1636', 'LorettaDiefenbach');
Insert into UfAffiliate values(62527965, 'QStremi3591@ufl.edu', '762-332-7064', 'N', 'F', '1637', 'QuentinStremi');
Insert into UfAffiliate values(65200676, 'MVatterott6726@ufl.edu', '806-317-5184', 'N', 'F', '1638', 'MaricelaVatterott');
Insert into UfAffiliate values(36107385, 'MBeseau6844@ufl.edu', '107-958-2163', 'N', 'F', '1639', 'MagaretBeseau');
Insert into UfAffiliate values(16276976, 'LSchick1091@ufl.edu', '751-911-7000', 'Y', 'P', '1640', 'LuigiSchick');
